,Country,2016,2017,2018,1Q19,2Q19,3Q19,4Q19,2019,1Q20,2Q20,3Q20,4Q20,2020
10,(a) Total world demand,95.6975224457973,97.42046938808602,98.83627197299695,98.75285045254243,98.56138418195627,100.52794326284771,100.79176649368729,99.66645424352892,92.92217756743842,86.69775849202921,94.2826799585695,97.3017654399098,92.81993650782141
23,(b) Total non-OPEC liquids production and OPEC NGLs,63.80263987978143,64.64570603835617,67.74007489863014,69.13870200000001,69.18490200000001,69.48730200000001,71.19690200000002,69.75686583561645,71.483347,66.964106,67.48574,67.291797,68.3012339535519
37,(a) - (b),31.89488256601589,32.77476334972985,31.096197074366827,29.614148452542423,29.37648218195628,31.04064126284769,29.594864493687282,29.90958840791248,21.43883056743843,19.733652492029194,26.79693995856952,30.009968439909787,24.518702554269492
