Storage Type,Country,2017,2018,2019,Q417,1Q18,2Q18,3Q18,4Q18,1Q19,2Q19,3Q19,4Q19
OECD Onland Commercial,Americas,1498.32,1543.608,1538.3529999999998,1498.32,1470.756,1473.027,1542.864,1543.608,1508.31,1564.7779999999998,1558.805,1538.3529999999998
OECD Onland Commercial,Europe,948.008,929.7260000000001,972.097,948.008,967.596,951.753,932.803,929.7260000000001,988.857,982.194,987.2410000000001,972.097
OECD Onland Commercial,Asia Pacific,413.212,399.81300000000005,391.245,413.212,377.88199999999995,387.626,389.667,399.81300000000005,379.48400000000004,388.911,398.561,391.245
OECD SPR,Americas,664.83,651.138,636.966,664.83,667.455,662.0139999999999,662.008,651.138,651.125,646.817,646.817,636.966
OECD SPR,Europe,481.074,480.75199999999995,482.17400000000004,481.074,487.444,490.5,485.918,480.75199999999995,488.44800000000004,484.597,481.85699999999997,482.17400000000004
OECD SPR,Asia Pacific,423.019,419.833,416.2,423.019,422.024,422.01599999999996,422.12300000000005,419.833,417.349,417.39300000000003,415.80199999999996,416.2
Oil-on-water,Global,1025.0654376,1058.4556376,1011.4556376000003,1025.0654376,1036.4556376,1014.4556376000003,1041.4556376,1058.4556376,1013.4556376000003,995.4556376000003,1012.4556376000003,1011.4556376000003
